Продукт;Бел, г;Жир, г;Угл, г;Кал, ккал;
Смесь из 3-х видов отрубей Myllyn Paras;16,60;6,10;34,10;255,00;
Смесь пропаренного и дикого риса Увелка;7,00;1,00;78,00;350,00;
Смесь чечевицы Мистраль для супов и гарниров;24,50;1,20;54,60;327,00;
Сорго зерновое;11,80;3,30;66,40;323,00;
Талкан пшеничный;11,50;1,30;64,00;324,00;
Талкан-шифа 4 злака;10,60;2,70;60,50;309,00;
Теф;13,30;2,40;73,10;367,00;
Толокно;12,50;6,00;64,90;363,00;
Толокно гречневое Ваше здоровье из томленого зерна;12,60;3,30;57,10;308,00;
Толокно кукурузное Ваше здоровье из томленого зерна;8,30;1,20;71,00;328,00;
Толокно овсяное Ваше здоровье;11,50;6,00;52,10;306,00;
Толокно овсяное Гарнец;12,20;5,80;68,30;357,00;
Тритикале;12,80;2,10;54,50;274,00;
Фасоль Агро-Альянс Black Eye (Черный глаз);23,00;1,00;60,00;340,00;
Фасоль Агро-Альянс белая;21,00;2,00;62,00;350,00;
Фасоль Агро-Альянс красная Red Kidney;21,00;2,00;62,00;350,00;
Фасоль Мистраль Микс;22,00;1,70;63,30;327,00;
Фасоль Увелка пурпурная Кидни;21,00;2,00;47,00;290,00;
Хлопья 4-х зерновые Myllyn Paras;11,40;2,80;51,10;320,00;
Хлопья Makfa 4 злака;10,00;2,00;77,00;360,00;
Хлопья Makfa 5 злаков;11,00;3,00;75,00;370,00;
Хлопья Nestle Fitness из цельной пшеницы;8,30;2,00;76,40;357,00;
Хлопья Nestle Fitness с тёмным шоколадом;8,00;6,70;72,90;384,00;
Хлопья Nestle Fitness с фруктами;6,40;2,60;75,70;352,00;
Хлопья Агро-Альянс 4 злака;12,00;3,00;73,00;390,00;
Хлопья Агро-Альянс 5 злаков;12,00;3,00;70,00;370,00;
Хлопья Алтайская Сказка 9 злаков;11,30;2,80;65,80;334,00;
Хлопья красной чечевицы Myllyn Paras;25,00;0,00;52,00;320,00;
Хлопья Мистраль смесь 5 злаков;10,10;3,80;76,30;365,00;
Хлопья Пассим Три злака;10,00;3,60;63,00;334,00;
Хлопья Пассим Четыре злака;10,30;3,20;61,00;322,00;
Хлопья Увелка 5 злаков Доброе утро;14,00;3,50;68,00;370,00;
Хлопья Увелка 5-ти зерновые тонкие;11,00;2,00;75,00;360,00;
Хлопья Царь 4 злака;11,00;2,50;66,00;330,00;
Хлопья Царь 5 злаков;10,20;1,50;73,20;308,00;
Хлопья Царь 5 злаков с ягодами;8,50;1,50;62,00;300,00;
Хлопья Царь 7 злаков;10,00;2,50;64,00;340,00;
Хлопья Ясно солнышко 7 злаков;11,00;3,00;64,00;340,00;
Чечевица Агро-Альянс красная;26,00;2,00;57,00;350,00;
Чечевица Агро-Альянс Элитная;28,00;2,00;58,00;360,00;
Чечевица Мистраль Канадская зелёная крупная;19,40;1,10;66,60;328,00;
Чечевица Мистраль Персидская красная колотая;25,00;1,10;53,00;322,00;
Чечевица Мистраль Турецкая жёлтая колотая;22,30;0,10;65,50;332,00;
Чечевица Фермер зелёная;24,00;1,10;53,70;284,00;
Ячменная каша;11,00;2,00;65,80;310,00;
Ячменная крупа;10,00;1,30;71,70;324,00;
Ячменные хлопья;9,80;3,60;79,40;355,00;
Ячменные хлопья Myllyn Paras;11,00;2,00;63,00;320,00;
Ячневая каша на воде;2,30;0,30;15,70;76,00;
Ячневая каша на молоке;3,60;2,00;19,80;111,00;
Ячневая крупа;10,40;1,30;66,30;324,00;
Ячневая крупа Makfa в пакетиках;10,00;1,30;65,40;313,00;
